ds,yhat,yhat_lower,yhat_upper
1949-01-01,84.81411608974628,55.614533007282596,113.22524990821394
1949-02-01,78.22776819670649,47.71409090989995,108.80387493982388
1949-03-01,110.34224513100011,82.8747950574808,141.76664276026645
1949-04-01,107.81071901936158,79.27411229459989,134.7400665808025
1949-05-01,111.26610903205253,82.5211814808831,138.24232643963077
1949-06-01,151.23888860895076,122.98082000274138,181.91556795129134
1949-07-01,190.00311066798483,162.80196168588878,219.52442362362254
1949-08-01,189.48158954872986,158.83554864584744,220.14248575119356
1949-09-01,140.02281452809572,111.02518175194948,169.02817465816332
1949-10-01,103.8547942228716,74.92857418041345,133.2102606753087
1949-11-01,69.08478009032194,42.24384775073993,99.73447630325967
1949-12-01,97.59257990027157,68.50105095097199,127.41129302644062
1950-01-01,109.56915413186395,80.76440843122627,139.25023576758264
1950-02-01,102.47197469645381,73.93336510078679,130.93180645182977
1950-03-01,137.1831475929339,108.81292490378283,166.28031685067504
1950-04-01,132.50304946644135,103.71925247374517,159.99044729675572
1950-05-01,137.52121873131176,108.9051250820973,167.30064482415798
1950-06-01,176.1805839342627,147.53849089696624,206.56877260889559
1950-07-01,215.8191997416392,188.57362649366792,246.91293200036336
1950-08-01,214.80268580362588,183.4316234340447,242.23699775821305
1950-09-01,165.83969849574817,138.43416154229723,193.92399902327273
1950-10-01,129.26264567279532,102.30163781948558,158.62672315979887
1950-11-01,95.42580256541271,68.06548713367086,125.47947474921483
1950-12-01,124.07862607396383,96.58681726130126,152.7943135501722
1951-01-01,134.2888406683438,106.52970234496759,163.2728280889539
1951-02-01,126.74134643315665,97.66311018159482,155.00324623681468
1951-03-01,164.0232923498158,135.99371752453482,192.40369207322107
1951-04-01,157.1933238529312,129.85647126424132,184.57345086118215
1951-05-01,163.7845108620589,136.69576369808854,193.4873855706706
1951-06-01,201.11562460458833,173.176854546673,228.77960054000957
1951-07-01,241.6233864907631,209.7940839243869,270.5859823489032
1951-08-01,240.11034798535565,211.336103145463,267.6962401242967
1951-09-01,191.6622339177583,165.21768653937107,220.28161926278645
1951-10-01,154.68872777144998,126.56151406791686,181.77538904984607
1951-11-01,121.79398390833123,91.59355401608539,147.4557604633015
1951-12-01,150.53429826158103,123.25625871055648,179.17236700647067
1952-01-01,158.97425050034266,130.44237027666475,189.0078432764529
1952-02-01,151.03728513966772,121.71361414728825,178.1241198113214
1952-03-01,185.91440614168874,157.50502118044162,213.29075081107837
1952-04-01,185.5284744770224,155.97044025587968,214.64128507538533
1952-05-01,187.4325473362033,160.22601350656856,215.6888514622157
1952-06-01,228.7031961290116,200.6701754131908,256.8219019936693
1952-07-01,266.58801986821476,238.7182105505401,295.24408892046034
1952-08-01,266.55912103059467,238.46871259600317,296.5582786904867
1952-09-01,216.6237387616733,188.6563721896413,243.92005898687316
1952-10-01,180.87742505473165,154.25814335097792,209.73319729939038
1952-11-01,145.18461912405394,116.1466998503022,174.8743958456029
1952-12-01,173.4900492291205,144.03317122217123,201.07004978729432
1953-01-01,187.2267739525879,160.71401046424327,217.40369100915242
1953-02-01,180.6404261530855,149.15854326580248,208.24138952587393
1953-03-01,212.75490317185663,183.36186844206924,241.6982493571887
1953-04-01,210.2233771749662,182.78252024959224,237.9445636585301
1953-05-01,213.67876729869621,185.9724067521484,245.8015242678838
1953-06-01,253.6515469903389,224.56430292155585,283.8314442062004
1953-07-01,292.41576917660666,263.49264002330426,320.31865306517324
1953-08-01,291.8942481888298,263.3189533162409,319.57261941279637
1953-09-01,242.55939605973867,212.49162459911744,273.02372551357666
1953-10-01,206.51130113343098,177.10169536885002,235.73124870540056
1953-11-01,171.86520984340495,143.4460662499456,199.11783921717313
1953-12-01,200.49293498483658,168.60648025255685,229.722147710871
1954-01-01,212.78140321193095,183.97768618825944,243.0261544026165
1954-02-01,205.9961177720192,177.53566875570675,234.90239745084284
1954-03-01,240.98900137412357,211.5180244624624,269.0465793413741
1954-04-01,236.62079721438263,207.62249187736245,265.0960094655729
1954-05-01,241.94079935030317,214.02083223657328,267.79682809447814
1954-06-01,281.15546509512353,250.0686072852987,308.00436441008634
1954-07-01,321.33146852366093,293.11544705139636,348.2641794296914
1954-08-01,320.87025512735033,292.7249064961433,347.94304103199744
1954-09-01,272.4625683611753,243.4732011527152,302.078752260088
1954-10-01,236.64424246236416,208.98720138564045,266.4067309007581
1954-11-01,203.59141717658756,176.31734439124432,231.29950402233177
1954-12-01,233.00296760927728,204.34231039866646,259.94284552220324
1955-01-01,243.9972000069414,214.36880376372895,274.8304277421971
1955-02-01,237.2337235750356,208.09164176452995,267.7561513309171
1955-03-01,275.3485731919106,246.11372818648013,303.69959563403
1955-04-01,269.44074807740935,242.7397336336499,297.99672952353995
1955-05-01,276.92433190634694,249.59943993026178,304.4713960682822
1955-06-01,315.1775890293495,286.89386500790886,344.697976168058
1955-07-01,356.5777477353358,326.38720133200445,383.6143273897647
1955-08-01,356.00907492488517,327.18669730302537,384.7943241489421
1955-09-01,308.5053265522447,280.1600494950554,338.19343731139554
1955-10-01,272.4457226854715,244.64456791292443,303.3950151540137
1955-11-01,240.49534451120732,209.69728284036375,269.3642684112013
1955-12-01,270.14956113973955,241.22556398210125,298.2493092868285
1956-01-01,279.5338790629632,251.85173351097188,307.7071834315042
1956-02-01,272.5412793728359,244.29411501057595,300.574110093571
1956-03-01,308.3018392279435,279.4758418295824,337.0072274575261
1956-04-01,308.8602732338202,278.2440101198983,337.1306025020042
1956-05-01,311.67824838392113,283.56982828593874,340.6478092899202
1956-06-01,353.89326287734946,326.60119147673066,380.6486820692753
1956-07-01,392.69198891617054,364.86827058881636,420.68529339046285
1956-08-01,393.6074557881542,365.0566943464244,422.31189503425213
1956-09-01,344.61643922811226,314.66410253729384,372.56787892044935
1956-10-01,309.78402782008425,279.1492903280138,339.55245225303486
1956-11-01,275.0355875982868,248.20054155486284,305.0090155783155
1956-12-01,304.25492000123586,275.6971646328352,336.20143098459806
1957-01-01,318.93601043251334,289.02965195024615,348.4279993250802
1957-02-01,313.2940283627688,283.4920805305275,340.70689925807307
1957-03-01,346.2614808793915,316.9336778286433,374.50415266995276
1957-04-01,344.67432059105096,316.523177583528,376.10152316661464
1957-05-01,349.0436130133816,321.14216802559696,377.5005693948492
1957-06-01,389.9607583892963,361.426328623176,417.27899473268434
1957-07-01,429.63888285066554,399.3810315348811,458.34581748613624
1957-08-01,430.06172754715976,404.07631513999326,460.47123543816764
1957-09-01,381.5473183422727,352.7365725098004,412.90770801893666
1957-10-01,346.2932004393891,317.5668413348162,373.8342345312412
1957-11-01,312.4675520954685,285.8701859542732,340.7916905988097
1957-12-01,341.889254281517,313.01082372240126,370.17587522520233
1958-01-01,354.8101943017388,325.707944876178,383.94070360019407
1958-02-01,348.657380654954,319.2309363143451,378.2879714981166
1958-03-01,384.22153090633736,355.6027041777178,415.778440027085
1958-04-01,380.4858005368636,353.3002597373463,410.05902235448644
1958-05-01,386.4178740827282,355.94101918921587,415.5968493101391
1958-06-01,426.02160704270165,396.9935304921791,454.4083640652249
1958-07-01,466.57412713107044,436.34693617251355,495.78769478606415
1958-08-01,466.50198162232624,437.7480601297507,495.0021387716649
1958-09-01,418.48336274371746,390.2329642959621,445.19787713335563
1958-10-01,382.82021485232343,354.62360328115057,412.6171356847102
1958-11-01,349.9277401742098,320.5621425350022,379.8605851634723
1958-12-01,379.4944686143146,350.653477525584,407.04944694389917
1959-01-01,390.6490516196405,363.2997717208274,419.7339699460052
1959-02-01,384.0459257953943,352.41735086564086,412.2441031754047
1959-03-01,422.1808496316172,394.56637277348165,451.9828197680162
1959-04-01,416.29524954567984,386.47412964418555,444.229798279543
1959-05-01,423.8003414667748,394.60662977754095,451.3045790651513
1959-06-01,462.0758236183394,433.9738665348426,492.1734865698023
1959-07-01,503.49749041648363,475.2881237337311,531.9309988490247
1959-08-01,502.92882032011187,475.91452176497165,531.4337360763922
1959-09-01,455.4250746615507,425.37009060757583,483.7759515922123
1959-10-01,419.3654734213044,390.74552027384607,448.58801858409936
1959-11-01,387.415097961119,360.7262143292767,417.16307237463786
